review_id,resort,full_day_price,avg_rating,review,text_length,label,score
1,Perisher Ski Resort,1379.0,5.0,"Highly recommended! Me and my family had a fantastic time at Perisher Ski Resort. The facilities were great, and the snow was perfect for all skill levels. I’d especially like to commend the exceptional service at the Perisher Valley Visitor Information Centre. Elise was incredibly helpful, friendly, and knowledgeable — she went above and beyond to make sure we had everything we needed. Her assistance made a real difference to our trip. Thank you, Elise!",458,POSITIVE,0.9998736381530762
2,Perisher Ski Resort,1379.0,5.0,"Visited Perisher valley, Smiggin Holes.. Which is a ski resort before Perisher. It's best for beginners as it has a few tracks which are not steep and then more for intermediate and more challenging ones as well. Will be back here soon. Snow was great and they were allowing tobogganing on the far right on an empty hill with lots of snow.",339,POSITIVE,0.9917426705360411
3,Perisher Ski Resort,1379.0,3.0,"Perisher Valley is absolutely magical – the snowfall was incredible and the kids had an amazing time playing in the snow. It’s a winter wonderland and truly a beautiful spot for a snow holiday.
However, I would not recommend visiting during the peak school holiday season. The traffic was completely out of control. By 8:30 AM, the resort parking was full and thousands of cars were being turned back, with no prior updates or warnings. We saw the same chaos at Thredbo as well.
We ended up losing our bookings – and a lot of money – due to this poor management. There’s a serious lack of infrastructure and communication to handle peak crowds. It’s clear the area hasn’t been upgraded to support the number of visitors it receives during holidays.
Go for the snow and scenery – it’s worth it – but avoid the peak season unless you’re prepared for a logistical nightmare.",871,NEGATIVE,0.989859402179718
4,Perisher Ski Resort,1379.0,2.0,"We do the skiing once a year during the last 9 years, never experienced the full capacity (due to the parking). When we arrived at 12pm on Saturday, we got advised by the police that it was full. We heard the situation is based on one car out followed by one car in. I can see many cars were leaving Perisher Valley Resort, but no car was allowed to go in. I was so frustrated with the situation as I have already bought the lift tickets for the whole family. We went to the restaurant near the checkpoint for lunch and resting. At around 2pm, suddenly it was allowed to go in. We were lucky to be in the first group to drive in. When we arrived at the Perisher Valley Ski Resort, it was so easy to find parking, inside the rest area where people eat and rest, it was less busy as well. I struggle to appreciate the reasoning of denying the access for a few hours. Totally unnecessary. In the past the ski resort was much busier, never denying people for access. I tried to email Perisher Ski Resort to check if it was possible to transfer the lift pass from day time to evening time, unfortunately no response. On Sunday, we deliberately got there early just in case of denied access due to the full capacity. Luckily I didn't see the police checkpoint. When arrived at Perisher Ski Resort, it was very difficult to find parking. It took me over 35 minutes. Overall I did enjoy the beautiful moments on the snow, but not a good experience in terms of denied access on Saturday.",1478,NEGATIVE,0.9989678859710692
5,Perisher Ski Resort,1379.0,4.0,I think Perisher does a good job given the constraints nature deals it. But they do need to provide more parking. It would be great if they invested in more wind tolerant lifts and more toilets.,194,NEGATIVE,0.9978741407394408
6,Perisher Ski Resort,1379.0,5.0,"We had a fantastic family trip to the Perisher valley mountain! The kids loved tobogganing down gentle slopes and building snowmen. There were easy trails perfect for beginner skiers, and we even had a short ski lesson together. The snow play area was safe and well managed, with lots of space to run around. We enjoyed hot chocolate in the warm café while watching the snow fall. The views were stunning, and everything was well organised for families. It was a great place to make winter memories, and we can’t wait to come back next year for more snow fun! Of all, kids had a great time and are keen to do more skiing.",621,POSITIVE,0.9997963309288024
7,Perisher Ski Resort,1379.0,1.0,"My experience at Perisher was unfortunately the worst I’ve had at any ski resort.
I had pre booked my snow gear (board and boots) online, yet I still had to wait in the same queue as everyone else, with no dedicated line for online bookings and an insufficient number of staff at the pick up counters. This completely defeats the purpose of booking ahead and reflects poor service management.
Additionally, I’ve never been to a ski resort where the lifts have no leg rests. This felt unsafe for both children and adults, especially as the safety bars kept lifting unexpectedly. Having to carry the snowboard attached to my foot caused significant knee pain, which lasted for days.",680,NEGATIVE,0.9997977614402772
8,Perisher Ski Resort,1379.0,5.0,"Our family booked ski lessons at Perisher, and we had a 2-hour session with a lovely instructor named Ashley, who came all the way from Scotland. She was really nice and did a fantastic job managing even our 6-year-old boy, helping us all enjoy skiing in such a short time. It was a truly meaningful experience, and I’d like to express our gratitude to Ashley once again!",371,POSITIVE,0.9998620748519896
9,Perisher Ski Resort,1379.0,5.0,"Incredible ski destination with well-groomed runs and stunning scenery. There’s something for every skill level, and the facilities are excellent. Always a great experience.",173,POSITIVE,0.9998824596405028
10,Perisher Ski Resort,1379.0,4.0,"It’s a lovely place for both beginners and seasoned skiers. There’s a dedicated child-friendly zone, making it perfect for families. The snow-covered slopes were well maintained, and there are plenty of snow play areas to enjoy beyond skiing. The resort is well-equipped with cozy cafés and restaurants nearby, so you can relax and warm up between runs. A fantastic alpine experience all around!",395,POSITIVE,0.999831199645996
11,Perisher Ski Resort,1379.0,3.0,"I came to perisher to ski for the first time, but I found it was quite overpriced for lift tickets and rentals. The lack of signs made it hard to find your way around, especially if you've never been there before. They had lots of options from first timers to very experienced skiers/boarders. The food places were way overpriced and pretty average tasting. Most restaurants didn't even accept cash. It was fun but not great value. Also, I don't recommend toboganning here as they don't have a conveyor belt to get back up the hill, so it was very tiring climbing back up.",572,NEGATIVE,0.9979339838027954
12,Perisher Ski Resort,1379.0,1.0,"As a single parent, I saved and sacrificed a lot to be able to afford the expensive lift tickets so my kids could spend one day at Perisher skiing with their friend for my son’s birthday present. However, we were told there was no parking, which apparently happens a lot and they know it happens but don’t say anything about it on the website or warn you when you purchase tickets. Due to a medical condition, taking a bus as an alternative was NOT possible. They were NOT allowed to enter even to drop off the kids to ski! So the lift passes could NOT be used! Perisher is IMPOSSIBLE to contact as they do NOT HAVE A WORKING PHONE NUMBER. Even Experion does not have a valid phone number. Their online chat was useless and unhelpful. They said they would send an email with information but never did. Perisher is a SCAM!!! It ruined my kids’ holiday, which they were looking forward to all year, and I saved and sacrificed so much to be able to provide them! This is a SCAM and a FRAUD!!!! NEVER GO TO PERISHER, NEVER BOOK LIFT PASSES WITH THEM!!!!!!!! YOU WILL WASTE YOUR TIME AND MONEY AND BE LEFT WITH ONLY TEARS AND DISAPPOINTMENT!",1136,NEGATIVE,0.9984487295150756
13,Perisher Ski Resort,1379.0,3.0,"We visited Perisher last week and found it overwhelmingly busy. Lift pass queues were frustratingly long, and once on the slopes, the heavy traffic made it difficult to enjoy the snow. It often felt crowded rather than relaxed, which took away from the overall experience.
Another surprise was the lack of facilities — there weren’t many places to sit down, put on boots, or get sorted before hitting the slopes. Even something as simple as more benches or undercover areas would go a long way.
For family members who aren’t skiing, it was hard to find a comfortable spot to sit, stay warm, and just enjoy the mountain atmosphere. A quiet area to read a book or take in the view would’ve made a real difference.
Perisher has a great location, but the crowding and lack of practical amenities made this visit less enjoyable than we’d hoped.",839,NEGATIVE,0.996188461780548
